generation,kappa_mean,kappa_median,kappa_sd,kappa_min,kappa_max,kappa_q25,kappa_q75,mean_fitness,n_pop
401,0.7308,0.7287,0.012,0.7009,0.7566,0.7232,0.7401,1.0066,100
402,0.7273,0.7275,0.0106,0.7003,0.7492,0.7213,0.7346,1.0071,100
403,0.7312,0.7305,0.0101,0.7023,0.7575,0.7247,0.7387,1.0074,100
404,0.7298,0.729,0.0115,0.7022,0.7561,0.7234,0.7378,1.0069,100
405,0.7289,0.7283,0.0115,0.701,0.7588,0.7221,0.7348,1.007,100
406,0.7291,0.7291,0.0109,0.7009,0.759,0.7223,0.7354,1.0073,100
407,0.7303,0.7307,0.0112,0.7043,0.7583,0.7231,0.7369,1.007,100
408,0.7293,0.7289,0.0102,0.7086,0.7581,0.7222,0.7366,1.0073,100
409,0.7312,0.732,0.0111,0.7111,0.7639,0.7225,0.739,1.0068,100
410,0.7304,0.7283,0.0114,0.708,0.7651,0.7214,0.7388,1.0068,100
411,0.73,0.7294,0.0096,0.7034,0.7488,0.7235,0.7372,1.0076,100
412,0.7305,0.73,0.0105,0.7107,0.7533,0.7221,0.7379,1.0071,100
413,0.7305,0.7324,0.0103,0.7005,0.754,0.723,0.7383,1.0073,100
414,0.7296,0.73,0.0112,0.6977,0.7572,0.7225,0.7372,1.007,100
415,0.7295,0.7291,0.0113,0.7051,0.759,0.7221,0.7371,1.0069,100
416,0.7289,0.7289,0.011,0.6964,0.757,0.721,0.7364,1.007,100
417,0.7302,0.731,0.0094,0.6916,0.7484,0.725,0.7362,1.0078,100
418,0.7296,0.7283,0.0109,0.7064,0.7532,0.7218,0.7367,1.007,100
419,0.7301,0.7302,0.0094,0.7064,0.7486,0.7252,0.737,1.0078,100
420,0.7315,0.732,0.0089,0.7128,0.7487,0.7248,0.7394,1.0077,100
421,0.7294,0.7285,0.01,0.6986,0.7574,0.722,0.7367,1.0075,100
422,0.7301,0.7292,0.009,0.7086,0.7574,0.7244,0.735,1.0078,100
423,0.7303,0.7301,0.0103,0.7012,0.7564,0.7239,0.7365,1.0075,100
424,0.7307,0.7315,0.01,0.6996,0.7517,0.724,0.7377,1.0075,100
425,0.731,0.7316,0.0099,0.7048,0.7532,0.723,0.7368,1.0075,100
426,0.7302,0.7295,0.011,0.7036,0.7537,0.7234,0.7376,1.0071,100
427,0.7293,0.7276,0.0095,0.7036,0.7525,0.7227,0.7367,1.0076,100
428,0.7303,0.7292,0.0093,0.7102,0.7554,0.7234,0.7365,1.0078,100
429,0.7293,0.7294,0.0074,0.714,0.7525,0.7247,0.7346,1.0084,100
430,0.7299,0.7301,0.0092,0.7081,0.7553,0.7245,0.7372,1.0077,100
431,0.7307,0.7295,0.0094,0.7036,0.7534,0.7247,0.7366,1.0078,100
432,0.7292,0.7292,0.0081,0.7145,0.7498,0.7225,0.7347,1.008,100
433,0.7305,0.7303,0.0089,0.7122,0.7531,0.7249,0.7369,1.0078,100
434,0.729,0.7296,0.0089,0.7072,0.7523,0.7233,0.7343,1.0079,100
435,0.7297,0.7291,0.0091,0.7077,0.7532,0.7235,0.7354,1.0077,100
436,0.7305,0.73,0.0087,0.7081,0.7499,0.7245,0.7366,1.0079,100
437,0.7292,0.7297,0.0089,0.7071,0.7495,0.7238,0.7342,1.0079,100
438,0.7308,0.7299,0.0102,0.7046,0.7517,0.7236,0.7373,1.0073,100
439,0.7294,0.7298,0.0086,0.7107,0.7549,0.7236,0.7353,1.0079,100
440,0.7304,0.7299,0.0103,0.7011,0.7547,0.7248,0.7388,1.0075,100
441,0.7316,0.731,0.0092,0.7053,0.7566,0.7267,0.7369,1.0079,100
442,0.7308,0.7305,0.0084,0.7056,0.7464,0.7247,0.7378,1.008,100
443,0.7292,0.7281,0.0098,0.7052,0.7556,0.723,0.7357,1.0075,100
444,0.7317,0.7317,0.009,0.7053,0.7583,0.7256,0.7363,1.0078,100
445,0.7299,0.7295,0.0086,0.7092,0.7599,0.7253,0.7353,1.0081,100
446,0.728,0.7277,0.0099,0.6969,0.7558,0.7213,0.735,1.0074,100
447,0.7313,0.7311,0.0079,0.7114,0.7489,0.726,0.7361,1.0082,100
448,0.7302,0.7307,0.0087,0.7071,0.7508,0.7249,0.7369,1.0079,100
449,0.7292,0.7295,0.0075,0.711,0.7446,0.7248,0.734,1.0083,100
450,0.7305,0.7309,0.0089,0.7035,0.7504,0.7252,0.7364,1.0079,100
451,0.7302,0.73,0.0075,0.709,0.7496,0.7241,0.7353,1.0083,100
452,0.7302,0.7297,0.0088,0.7092,0.7535,0.7242,0.7369,1.0078,100
453,0.7309,0.7305,0.0085,0.7028,0.7503,0.7259,0.7365,1.008,100
454,0.731,0.7306,0.008,0.7045,0.7523,0.7261,0.7363,1.0082,100
455,0.7293,0.7299,0.0077,0.7076,0.7469,0.7238,0.7354,1.0082,100
456,0.73,0.7306,0.0079,0.7089,0.7472,0.7243,0.7362,1.0081,100
457,0.7297,0.7295,0.0082,0.7106,0.7519,0.7235,0.7346,1.0081,100
458,0.7301,0.7304,0.008,0.7106,0.747,0.7259,0.7356,1.0082,100
459,0.7299,0.7307,0.0078,0.709,0.7515,0.725,0.735,1.0082,100
460,0.7309,0.7312,0.0091,0.7094,0.7535,0.7255,0.737,1.0078,100
461,0.7309,0.7305,0.0079,0.7078,0.7568,0.7254,0.7365,1.0082,100
462,0.7285,0.729,0.0084,0.7068,0.7448,0.7218,0.7345,1.008,100
463,0.7306,0.7306,0.0089,0.7006,0.7511,0.7251,0.7363,1.0079,100
464,0.7301,0.729,0.0082,0.7094,0.7464,0.7247,0.7357,1.0081,100
465,0.7297,0.7303,0.0083,0.7037,0.7472,0.7232,0.7355,1.0081,100
466,0.7307,0.7308,0.0075,0.7062,0.7483,0.7258,0.7358,1.0084,100
467,0.7306,0.7312,0.0072,0.7155,0.7491,0.7245,0.7357,1.0083,100
468,0.7293,0.7293,0.0072,0.7086,0.7484,0.7245,0.7342,1.0085,100
469,0.7305,0.7309,0.0084,0.7024,0.7484,0.7246,0.7364,1.0081,100
470,0.73,0.7297,0.0081,0.7088,0.7547,0.7253,0.7336,1.0083,100
471,0.7303,0.7299,0.0074,0.7123,0.75,0.7258,0.7345,1.0085,100
472,0.7305,0.7301,0.0086,0.7086,0.756,0.7242,0.7354,1.008,100
473,0.7303,0.7298,0.0079,0.714,0.7502,0.7257,0.7354,1.0082,100
474,0.729,0.7292,0.0077,0.7132,0.7452,0.7232,0.7344,1.0082,100
475,0.7295,0.7292,0.0078,0.7096,0.7463,0.725,0.7345,1.0083,100
476,0.7287,0.7288,0.0072,0.7029,0.746,0.7245,0.7342,1.0085,100
477,0.7309,0.7314,0.0071,0.7153,0.7508,0.7263,0.7347,1.0085,100
478,0.7291,0.728,0.0072,0.7122,0.7462,0.7231,0.735,1.0083,100
479,0.7304,0.7306,0.0071,0.7095,0.7472,0.7258,0.735,1.0085,100
